Category,img,title,datetime,body,keywords
Army,/images/5685413-696x482.jpg,Turkish troops to take part in Karabakh victory parade in Azerbaijan,8-Dec-20,Turkish Soldiers will take part in the large-scale military parade celebrating Azerbaijan's victory in the Nagorno-Karabakh war victory in the Azerbaijani capital Baku on...,"Turkish,troops,to,take,part,in,Karabakh,victory,parade,in,Azerbaijan"
News,/images/1981118-696x464.jpg,U.S. Space announces AEHF-6 satellite control authority transferred to Space Operations Command,8-Dec-20,"Last week, the U.S. Air Force has announced that Satellite Control Authority of the Lockheed Martin-built AEHF-6 Protected Communications satellite had been transferred from the...","U.S.,Space,announces,AEHF-6,satellite,control,authority,transferred,to,Space,Operations,Command"
Aviation,/images/EpbHSzLUwAMPWnH-696x463.jpg,"Australian F/A-18 fighter jet fails take-off at Amberley airbase, pilots eject",8-Dec-20,"On morning Tuesday, a Royal Australian Air Force F/A-18 Super Hornet fighter jet failed to take off from Amberley airbase after one of its...","Australian,F/A-18,fighter,jet,fails,take-off,at,Amberley,airbase,,pilots,eject"
Aviation,/images/EongSnUW8AABvRW-696x522.jpg,German fighter jets intercept Russian IL-20 surveillance plane,7-Dec-20,"German Eurofighter jets intercepted four Russian Il-20 Coot electronic intelligence aircraft over the Baltics last week, according to a statement from the German Air...","German,fighter,jets,intercept,Russian,IL-20,surveillance,plane"
Maritime Security,/images/6341997-696x412.jpg,U.S. Marine Corps’ Light Armored Vehicles to receive new self-sealing fuel tanks,7-Dec-20,"The U.S. Army Contracting Command, Detroit Arsenal, has released a request for information for contractors interested in Self Sealing Fuel Tank (SSFT) for U.S....","U.S.,Marine,Corps’,Light,Armored,Vehicles,to,receive,new,self-sealing,fuel,tanks"
Army,/images/EnArJ9IXEAItcGi-696x451.jpg,U.S. Army set to release new solicitation for next-generation vehicles,7-Dec-20,The U.S. Army plans to publish a new solicitation for the next-generation vehicles that will change the battlefield.,"U.S.,Army,set,to,release,new,solicitation,for,next-generation,vehicles"
Army,/images/Mineral-ME-696x459.jpg,U.S. Army to receive more M109A7 Paladin howitzers,7-Dec-20,The U.S. Army has released a request for a proposal to add additional option years (FY21-FY23) to contract for the M109A7 Paladin artillery systems...,"U.S.,Army,to,receive,more,M109A7,Paladin,howitzers"
Army,/images/2020_tlyn_077_a_014_042_une-696x429.jpg,Russian Army to receive first batch of T-14 Armata tanks in 2021,7-Dec-20,"Russian Army will receive their first batch of serial-produced Armata T-14 main battle tanks in 2021, the head of Rostec, Sergei Chemezov, told reporters...","Russian,Army,to,receive,first,batch,of,T-14,Armata,tanks,in,2021"
Aviation,/images/190507-n-qk571b-696x391.jpg,Private aviation company reportedly to buy F-16 fighter jets from Israel,6-Dec-20,"Top Aces,  international operates a fleet of privately owned tactical aircraft, is reportedly to buy F-16 Fighting Falcon fighter jets from Israel. ","Private,aviation,company,reportedly,to,buy,F-16,fighter,jets,from,Israel"
Aviation,/images/EpbHSzLUwAMPWnH-696x463.jpg,U.S. Air Force returns B-1B Lancer bombers to Guam,6-Dec-20,"On 6 December, the U.S. Air Force has confirmed that supersonic B-1B Lancer bombers returned to the Indo-Pacific region for a Bomber Task Force...","U.S.,Air,Force,returns,B-1B,Lancer,bombers,to,Guam"
Army,/images/GMD-ISV-Selects-09-696x463.jpg,U.S. Army looks technologies that create 10-x factor advantage in lethality chain,6-Dec-20,"U.S. Army Futures Command held a virtual roundtable with more than 1,250 participants across industry and academia to discuss the Army’s Project Convergence, Dec....","U.S.,Army,looks,technologies,that,create,10-x,factor,advantage,in,lethality,chain"
Aviation,/images/Mineral-ME-696x459.jpg,U.S. Air Force trained against Russian-made combat vehicles,6-Dec-20,The U.S. Air Force has been testing new ways of defeating an advanced air-defense system and to carry out multi-service strikes.,"U.S.,Air,Force,trained,against,Russian-made,combat,vehicles"
Army,/images/4291621-696x461.jpg,U.S. Army orders $66 million worth of latest-generation Shadow drones,6-Dec-20,"Textron Systems Corporation, part of the Textron group, received a $66 million contract from the U.S. Army for the production of the latest-generation Shadow...","U.S.,Army,orders,$66,million,worth,of,latest-generation,Shadow,drones"
Army,/images/IMG_3928-3-696x438.jpg,U.S. Army looks forward to showcasing lethality of its rocket launchers in Poland,5-Dec-20,"The 1st Armored Brigade Combat Team ""Iron Horse"" has reported on its Twitter account that it looks forward to showing the lethality of tracked...","U.S.,Army,looks,forward,to,showcasing,lethality,of,its,rocket,launchers,in,Poland"
Army,/images/EnArJ9IXEAItcGi-696x451.jpg,U.S. Army Paladin unit conducts live-fire exercise in Germany,5-Dec-20,U.S. Army Soldiers simulated combat scenarios where they notionally conduct engagements against near-peer enemies during a live-fire exercise in Germany.,"U.S.,Army,Paladin,unit,conducts,live-fire,exercise,in,Germany"
Maritime Security,/images/1981118-696x464.jpg,U.S. Marines completes their intensive arctic training in Norway,5-Dec-20,"U.S. Marines with Marine Rotational Force-Europe 21.1, Marine Forces Europe and Africa, completed their intensive arctic training Sunday, marking the end of a six-week...","U.S.,Marines,completes,their,intensive,arctic,training,in,Norway"
Maritime Security,/images/51OLPE8ZveL._AC_SL1001_-696x387.jpg,USS Sioux City returns from successful deployment,5-Dec-20,The U.S. Naval Forces Southern Command has announced on Friday that the Freedom-variant littoral combat ship USS Sioux City (LCS 11) returned from a...,"USS,Sioux,City,returns,from,successful,deployment"
Army,/images/EnArJ9IXEAItcGi-696x451.jpg,U.S. Army M1 Abrams tanks spotted in Lithuanian forest near Belarus border,5-Dec-20,"U.S. Army M1 Abrams main battle tanks, HMMWVs and other tactical military vehicles were spotted in Lithuanian forest in the training area Pabrade, 15...","U.S.,Army,M1,Abrams,tanks,spotted,in,Lithuanian,forest,near,Belarus,border"
Maritime Security,/images/306894-696x462.jpg,U.S. Navy CMV-22B Osprey conducts first take-off from aircraft carrier,5-Dec-20,"A U.S. Navy CMV-22B Osprey tilt-rotor aircraft conducted its first take-off from an aircraft carrier, according to a press release issued Friday by the...","U.S.,Navy,CMV-22B,Osprey,conducts,first,take-off,from,aircraft,carrier"
Army,/images/5685413-696x482.jpg,Lebanon to receive more U.S. vehicles to fight militants,5-Dec-20,The Pentagon’s top arms broker announced that the U.S. State Department has cleared the sale of M1152 High Mobility Multi-purpose Wheeled Vehicles (HMMWVs) to...,"Lebanon,to,receive,more,U.S.,vehicles,to,fight,militants"
Maritime Security,/images/6454444-696x536.jpg,South Korea to buy Phalanx point defense gun systems,5-Dec-20,The U.S. Defense Security Cooperation Agency announced this week that the U.S. State Department recently approved the potential sale to the Republic of Korea...,"South,Korea,to,buy,Phalanx,point,defense,gun,systems"
